File Path,Folder,Line Count,Size Limit,Oversized,Has YAML,Has Projects,Has Tags,Has Synced,Has Footer,Issues
C:\Projects\claude-family\knowledge-vault\10-Projects\Claude Family Manager.md,Claude Family,97,150,NO,YES,NO,NO,YES,NO,Missing version footer; YAML missing 'projects:' field; YAML missing 'tags:' field
C:\Projects\claude-family\knowledge-vault\10-Projects\ato-tax-agent\ato-tax-section-service-pattern.md,Other,105,300,NO,YES,YES,YES,YES,NO,Missing version footer
C:\Projects\claude-family\knowledge-vault\10-Projects\claude-family\Database Schema - Core Tables.md,Other,691,300,YES,YES,YES,YES,YES,YES,Exceeds 300 line limit (691 lines)
C:\Projects\claude-family\knowledge-vault\10-Projects\claude-family\Identity System.md,Other,532,300,YES,YES,YES,YES,YES,YES,Exceeds 300 line limit (532 lines)
C:\Projects\claude-family\knowledge-vault\10-Projects\claude-family\Session User Stories.md,Other,1374,300,YES,YES,YES,YES,YES,YES,Exceeds 300 line limit (1374 lines)
C:\Projects\claude-family\knowledge-vault\20-Domains\Database Architecture.md,Other,288,300,NO,YES,YES,YES,YES,YES,
C:\Projects\claude-family\knowledge-vault\20-Domains\Database Integration Guide.md,Other,272,300,NO,YES,NO,NO,YES,NO,Missing version footer; YAML missing 'projects:' field; YAML missing 'tags:' field
C:\Projects\claude-family\knowledge-vault\20-Domains\APIs\nimbus-activity-type-prefixes.md,Other,49,300,NO,YES,YES,YES,YES,NO,Missing version footer
C:\Projects\claude-family\knowledge-vault\20-Domains\APIs\nimbus-idorfilter-patterns.md,Other,57,300,NO,YES,YES,YES,YES,NO,Missing version footer
C:\Projects\claude-family\knowledge-vault\20-Domains\APIs\nimbus-odata-field-naming.md,Other,44,300,NO,YES,YES,YES,YES,NO,Missing version footer
C:\Projects\claude-family\knowledge-vault\20-Domains\APIs\nimbus-rest-crud-pattern.md,Other,70,300,NO,YES,YES,YES,YES,NO,Missing version footer
C:\Projects\claude-family\knowledge-vault\20-Domains\APIs\nimbus-time-fields.md,Other,55,300,NO,YES,YES,YES,YES,NO,Missing version footer
C:\Projects\claude-family\knowledge-vault\20-Domains\CSharp\csharp-expert-rules.md,Other,182,300,NO,YES,NO,NO,YES,NO,Missing version footer; YAML missing 'projects:' field; YAML missing 'tags:' field
C:\Projects\claude-family\knowledge-vault\20-Domains\Database\local-reasoning-deepseek.md,Other,75,300,NO,YES,YES,YES,YES,NO,Missing version footer
C:\Projects\claude-family\knowledge-vault\20-Domains\Database\mui-mcp-installation.md,Other,95,300,NO,YES,YES,YES,YES,NO,Missing version footer
C:\Projects\claude-family\knowledge-vault\20-Domains\WinForms\winforms-async-patterns.md,Other,199,300,NO,YES,NO,NO,YES,NO,Missing version footer; YAML missing 'projects:' field; YAML missing 'tags:' field
C:\Projects\claude-family\knowledge-vault\20-Domains\WinForms\winforms-databinding.md,Other,198,300,NO,YES,NO,NO,YES,NO,Missing version footer; YAML missing 'projects:' field; YAML missing 'tags:' field
C:\Projects\claude-family\knowledge-vault\20-Domains\WinForms\winforms-designer-rules.md,Other,122,300,NO,YES,NO,NO,YES,NO,Missing version footer; YAML missing 'projects:' field; YAML missing 'tags:' field
C:\Projects\claude-family\knowledge-vault\20-Domains\WinForms\winforms-layout-patterns.md,Other,151,300,NO,YES,NO,NO,YES,NO,Missing version footer; YAML missing 'projects:' field; YAML missing 'tags:' field
C:\Projects\claude-family\knowledge-vault\30-Patterns\auto-apply-instructions.md,Other,153,300,NO,YES,NO,YES,YES,NO,Missing version footer; YAML missing 'projects:' field
C:\Projects\claude-family\knowledge-vault\30-Patterns\post-compaction-claude-md-refresh.md,Other,158,300,NO,YES,YES,YES,YES,NO,Missing version footer
C:\Projects\claude-family\knowledge-vault\30-Patterns\Windows Bash and MCP Gotchas.md,Other,118,300,NO,YES,NO,NO,YES,NO,Missing version footer; YAML missing 'projects:' field; YAML missing 'tags:' field
C:\Projects\claude-family\knowledge-vault\30-Patterns\gotchas\claude-hook-response-format.md,Other,93,300,NO,YES,YES,YES,YES,NO,Missing version footer
C:\Projects\claude-family\knowledge-vault\30-Patterns\gotchas\mcp-orphan-processes-windows.md,Other,68,300,NO,YES,NO,YES,YES,NO,Missing version footer; YAML missing 'projects:' field
C:\Projects\claude-family\knowledge-vault\30-Patterns\gotchas\psycopg3-vs-psycopg2.md,Other,82,300,NO,YES,YES,YES,YES,NO,Missing version footer
C:\Projects\claude-family\knowledge-vault\30-Patterns\gotchas\typescript-generic-constraint.md,Other,85,300,NO,YES,YES,YES,YES,NO,Missing version footer
C:\Projects\claude-family\knowledge-vault\30-Patterns\solutions\schema-consolidation-migration.md,Other,87,300,NO,YES,YES,YES,YES,NO,Missing version footer
